month,positive,negative,neutral,unclear
January,0,0,0,0
February,0,0,0,0
March,9,2,222,73
April,2,1,76,39
May,0,0,39,15
June,0,0,18,8
July,0,0,6,1
August,0,0,4,3
September,0,0,6,3
October,0,0,6,0
November,0,0,4,1
December,0,0,1,0
