month,positive,negative,neutral,unclear
january,131,21,11,199
february,111,130,40,201
march,23,200,180,10
april,4,11,289,120
may,57,321,10,80
june,60,0,320,67
july,11,21,301,176
august,56,213,18,89
september,11,140,21,130
october,210,88,11,8
november,111,91,20,131
december,130,87,43,120
