month,positive,negative,neutral,unclear
january,57,321,10,80
february,60,0,320,67
march,11,21,301,176
april,56,213,18,89
may,11,140,21,130
june,131,21,11,199
july,111,130,40,201
august,23,200,180,10
september,4,11,289,120
october,130,87,43,120
november,111,91,20,131
december,210,88,11,8
