month,positive,negative,neutral,unclear
January,0,0,0,0
February,0,0,1,0
March,6,20,195,73
April,3,0,36,23
May,0,0,7,1
June,0,0,1,1
July,0,0,10,4
August,0,1,8,4
September,1,0,6,4
October,0,0,0,2
November,0,0,0,1
December,1,0,0,0
